"v_family","v_3p_del","proportions"
"IGHVF1",0,0.478989431336938
"IGHVF1",1,0.262163521280708
"IGHVF1",2,0.0952135551519635
"IGHVF1",3,0.103338500604695
"IGHVF1",4,0.0212337449141166
"IGHVF1",5,0.0175241150874626
"IGHVF1",6,0.00970671232705918
"IGHVF1",7,0.00456326859698193
"IGHVF1",8,0.00447266818221489
"IGHVF1",9,0.00151693354999855
"IGHVF1",10,0.000364064051999651
"IGHVF1",11,0.000250190136191541
"IGHVF1",12,0.000110549129945099
"IGHVF1",13,7.48076819177365e-05
"IGHVF1",14,6.73269137259628e-05
"IGHVF1",15,7.73012713149944e-05
"IGHVF1",16,5.90149490684366e-05
"IGHVF1",17,3.82350374246209e-05
"IGHVF1",18,3.65726444931156e-05
"IGHVF1",19,2.74294833698367e-05
"IGHVF1",20,1.82863222465578e-05
"IGHVF1",21,1.24679469862894e-05
"IGHVF1",22,1.66239293150526e-05
"IGHVF1",23,9.1431611232789e-06
"IGHVF1",24,9.97435758903153e-06
"IGHVF1",25,4.98717879451577e-06
"IGHVF1",26,1.24679469862894e-05
"IGHVF1",27,1.66239293150526e-06
"IGHVF1",28,5.81837526026839e-06
"IGHVF1",29,7.48076819177365e-06
"IGHVF1",30,2.49358939725788e-06
"IGHVF1",31,5.81837526026839e-06
"IGHVF1",32,2.49358939725788e-06
"IGHVF1",33,4.15598232876314e-06
"IGHVF1",34,1.66239293150526e-06
"IGHVF1",35,3.32478586301051e-06
"IGHVF1",36,8.31196465752628e-07
"IGHVF1",37,1.66239293150526e-06
"IGHVF1",38,2.49358939725788e-06
"IGHVF1",39,8.31196465752628e-07
"IGHVF1",40,8.31196465752628e-07
"IGHVF1",41,2.49358939725788e-06
"IGHVF1",43,1.66239293150526e-06
"IGHVF1",44,4.15598232876314e-06
"IGHVF1",45,8.31196465752628e-07
"IGHVF1",47,8.31196465752628e-07
"IGHVF1",50,8.31196465752628e-07
"IGHVF1",51,8.31196465752628e-07
"IGHVF1",52,8.31196465752628e-07
"IGHVF1",53,3.32478586301051e-06
"IGHVF1",54,8.31196465752628e-07
"IGHVF1",56,3.32478586301051e-06
"IGHVF1",58,7.48076819177365e-06
"IGHVF1",59,2.49358939725788e-06
"IGHVF1",60,8.31196465752628e-07
"IGHVF1",62,2.49358939725788e-06
"IGHVF1",63,2.49358939725788e-06
"IGHVF1",70,8.31196465752628e-07
"IGHVF1",71,1.66239293150526e-06
"IGHVF1",75,1.66239293150526e-06
"IGHVF1",77,2.49358939725788e-06
"IGHVF1",78,2.49358939725788e-06
"IGHVF1",90,8.31196465752628e-07
"IGHVF1",97,8.31196465752628e-07
"IGHVF2",0,0.478989431336938
"IGHVF2",1,0.262163521280708
"IGHVF2",2,0.0952135551519635
"IGHVF2",3,0.103338500604695
"IGHVF2",4,0.0212337449141166
"IGHVF2",5,0.0175241150874626
"IGHVF2",6,0.00970671232705918
"IGHVF2",7,0.00456326859698193
"IGHVF2",8,0.00447266818221489
"IGHVF2",9,0.00151693354999855
"IGHVF2",10,0.000364064051999651
"IGHVF2",11,0.000250190136191541
"IGHVF2",12,0.000110549129945099
"IGHVF2",13,7.48076819177365e-05
"IGHVF2",14,6.73269137259628e-05
"IGHVF2",15,7.73012713149944e-05
"IGHVF2",16,5.90149490684366e-05
"IGHVF2",17,3.82350374246209e-05
"IGHVF2",18,3.65726444931156e-05
"IGHVF2",19,2.74294833698367e-05
"IGHVF2",20,1.82863222465578e-05
"IGHVF2",21,1.24679469862894e-05
"IGHVF2",22,1.66239293150526e-05
"IGHVF2",23,9.1431611232789e-06
"IGHVF2",24,9.97435758903153e-06
"IGHVF2",25,4.98717879451577e-06
"IGHVF2",26,1.24679469862894e-05
"IGHVF2",27,1.66239293150526e-06
"IGHVF2",28,5.81837526026839e-06
"IGHVF2",29,7.48076819177365e-06
"IGHVF2",30,2.49358939725788e-06
"IGHVF2",31,5.81837526026839e-06
"IGHVF2",32,2.49358939725788e-06
"IGHVF2",33,4.15598232876314e-06
"IGHVF2",34,1.66239293150526e-06
"IGHVF2",35,3.32478586301051e-06
"IGHVF2",36,8.31196465752628e-07
"IGHVF2",37,1.66239293150526e-06
"IGHVF2",38,2.49358939725788e-06
"IGHVF2",39,8.31196465752628e-07
"IGHVF2",40,8.31196465752628e-07
"IGHVF2",41,2.49358939725788e-06
"IGHVF2",43,1.66239293150526e-06
"IGHVF2",44,4.15598232876314e-06
"IGHVF2",45,8.31196465752628e-07
"IGHVF2",47,8.31196465752628e-07
"IGHVF2",50,8.31196465752628e-07
"IGHVF2",51,8.31196465752628e-07
"IGHVF2",52,8.31196465752628e-07
"IGHVF2",53,3.32478586301051e-06
"IGHVF2",54,8.31196465752628e-07
"IGHVF2",56,3.32478586301051e-06
"IGHVF2",58,7.48076819177365e-06
"IGHVF2",59,2.49358939725788e-06
"IGHVF2",60,8.31196465752628e-07
"IGHVF2",62,2.49358939725788e-06
"IGHVF2",63,2.49358939725788e-06
"IGHVF2",70,8.31196465752628e-07
"IGHVF2",71,1.66239293150526e-06
"IGHVF2",75,1.66239293150526e-06
"IGHVF2",77,2.49358939725788e-06
"IGHVF2",78,2.49358939725788e-06
"IGHVF2",90,8.31196465752628e-07
"IGHVF2",97,8.31196465752628e-07
"IGHVF3",0,0.463992808755526
"IGHVF3",1,0.378476308741625
"IGHVF3",2,0.0806234883095942
"IGHVF3",3,0.0480219444161284
"IGHVF3",4,0.0147809728567589
"IGHVF3",5,0.00703370432494046
"IGHVF3",6,0.00422578283553735
"IGHVF3",7,0.00141786134613424
"IGHVF3",8,0.000352148569628113
"IGHVF3",9,0.000222409622923018
"IGHVF3",10,1.85341352435849e-05
"IGHVF3",11,3.70682704871697e-05
"IGHVF3",12,9.26706762179244e-06
"IGHVF3",13,1.85341352435849e-05
"IGHVF3",14,1.85341352435849e-05
"IGHVF3",15,4.63353381089622e-05
"IGHVF3",16,1.85341352435849e-05
"IGHVF3",17,1.85341352435849e-05
"IGHVF3",18,1.85341352435849e-05
"IGHVF3",19,1.85341352435849e-05
"IGHVF3",21,2.78012028653773e-05
"IGHVF3",22,9.26706762179244e-06
"IGHVF3",23,9.26706762179244e-06
"IGHVF3",26,2.78012028653773e-05
"IGHVF3",28,4.63353381089622e-05
"IGHVF3",34,9.26706762179244e-06
"IGHVF3",37,9.26706762179244e-06
"IGHVF3",38,1.85341352435849e-05
"IGHVF3",39,9.26706762179244e-06
"IGHVF3",40,9.26706762179244e-06
"IGHVF3",42,9.26706762179244e-06
"IGHVF3",57,0.000148273081948679
"IGHVF3",58,9.26706762179244e-06
"IGHVF3",59,0.000185341352435849
"IGHVF3",60,1.85341352435849e-05
"IGHVF3",66,3.70682704871697e-05
"IGHVF3",69,1.85341352435849e-05
"IGHVF3",80,1.85341352435849e-05
"IGHVF3",83,9.26706762179244e-06
"IGHVF4",0,0.384727176641564
"IGHVF4",1,0.295327432069406
"IGHVF4",2,0.123970581758929
"IGHVF4",3,0.0917338265733034
"IGHVF4",4,0.0269080019377285
"IGHVF4",5,0.0143127669881534
"IGHVF4",6,0.00845554234377064
"IGHVF4",7,0.00427181045492579
"IGHVF4",8,0.0459329722112124
"IGHVF4",9,0.00101290350993086
"IGHVF4",10,0.000484432113445193
"IGHVF4",11,0.000440392830404721
"IGHVF4",12,0.000176157132161888
"IGHVF4",13,0.000220196415202361
"IGHVF4",14,0.000132117849121416
"IGHVF4",15,0.000352314264323777
"IGHVF4",16,0.000220196415202361
"IGHVF4",17,0.000440392830404721
"IGHVF4",18,8.80785660809442e-05
"IGHVF4",19,4.40392830404721e-05
"IGHVF4",22,8.80785660809442e-05
"IGHVF4",23,8.80785660809442e-05
"IGHVF4",24,8.80785660809442e-05
"IGHVF4",36,8.80785660809442e-05
"IGHVF4",37,4.40392830404721e-05
"IGHVF4",40,8.80785660809442e-05
"IGHVF4",68,0.000264235698242833
"IGHVF5",0,0.406392257060358
"IGHVF5",1,0.290851348101098
"IGHVF5",2,0.121285654380904
"IGHVF5",3,0.11550564967127
"IGHVF5",4,0.0268486885433759
"IGHVF5",5,0.0212412024928317
"IGHVF5",6,0.0102440824211042
"IGHVF5",7,0.00330681750925871
"IGHVF5",8,0.00236363155555164
"IGHVF5",9,0.00105022307795954
"IGHVF5",10,8.31111788313309e-05
"IGHVF5",11,8.18519185460077e-05
"IGHVF5",12,0.000109555644823118
"IGHVF5",13,6.80000554074526e-05
"IGHVF5",14,6.67407951221294e-05
"IGHVF5",15,8.05926582606845e-05
"IGHVF5",16,8.31111788313309e-05
"IGHVF5",17,6.17037539808366e-05
"IGHVF5",18,3.52592879890495e-05
"IGHVF5",19,2.77037262771103e-05
"IGHVF5",20,2.64444659917871e-05
"IGHVF5",21,1.00740822825856e-05
"IGHVF5",22,1.88889042798479e-05
"IGHVF5",23,1.13333425679088e-05
"IGHVF5",24,8.81482199726237e-06
"IGHVF5",25,1.2592602853232e-06
"IGHVF5",26,6.29630142661598e-06
"IGHVF5",27,2.51852057064639e-06
"IGHVF5",28,1.2592602853232e-06
"IGHVF5",29,5.03704114129278e-06
"IGHVF5",30,2.51852057064639e-06
"IGHVF5",31,8.81482199726237e-06
"IGHVF5",32,2.51852057064639e-06
"IGHVF5",33,1.00740822825856e-05
"IGHVF5",34,5.03704114129278e-06
"IGHVF5",35,5.03704114129278e-06
"IGHVF5",36,1.2592602853232e-06
"IGHVF5",37,1.2592602853232e-06
"IGHVF5",39,2.51852057064639e-06
"IGHVF5",40,2.51852057064639e-06
"IGHVF5",41,2.51852057064639e-06
"IGHVF5",42,2.51852057064639e-06
"IGHVF5",43,1.2592602853232e-06
"IGHVF5",44,1.2592602853232e-06
"IGHVF5",45,3.77778085596959e-06
"IGHVF5",46,2.51852057064639e-06
"IGHVF5",47,3.77778085596959e-06
"IGHVF5",50,1.2592602853232e-06
"IGHVF5",56,8.81482199726237e-06
"IGHVF5",58,6.29630142661598e-06
"IGHVF5",59,3.77778085596959e-06
"IGHVF5",61,1.2592602853232e-06
"IGHVF5",62,2.51852057064639e-06
"IGHVF5",64,1.2592602853232e-06
"IGHVF5",65,1.2592602853232e-06
"IGHVF5",66,2.51852057064639e-06
"IGHVF5",68,1.2592602853232e-06
"IGHVF5",69,2.51852057064639e-06
"IGHVF5",70,1.2592602853232e-06
"IGHVF5",72,2.51852057064639e-06
"IGHVF5",74,2.51852057064639e-06
"IGHVF5",75,5.03704114129278e-06
"IGHVF5",78,1.2592602853232e-06
"IGHVF5",79,1.2592602853232e-06
"IGHVF5",86,2.51852057064639e-06
"IGHVF5",94,1.2592602853232e-06
"IGHVF5",95,5.03704114129278e-06
"IGHVF5",96,3.77778085596959e-06
"IGHVF5",97,1.2592602853232e-06
"IGHVF5",99,1.2592602853232e-06
"IGHVF6",0,0.213699682728535
"IGHVF6",1,0.0882906999801705
"IGHVF6",2,0.284298780487805
"IGHVF6",3,0.151775976601229
"IGHVF6",4,0.178031429704541
"IGHVF6",5,0.028312760261749
"IGHVF6",6,0.0390206722189173
"IGHVF6",7,0.0038915328177672
"IGHVF6",8,0.00876214554828475
"IGHVF6",9,0.00175366845131866
"IGHVF6",10,0.000985276621058894
"IGHVF6",11,0.000706424747174301
"IGHVF6",12,4.9573666468372e-05
"IGHVF6",13,7.4360499702558e-05
"IGHVF6",14,3.09835415427325e-05
"IGHVF6",15,1.85901249256395e-05
"IGHVF6",16,4.33769581598255e-05
"IGHVF6",17,5.57703747769185e-05
"IGHVF6",18,4.33769581598255e-05
"IGHVF6",19,3.09835415427325e-05
"IGHVF6",20,6.1967083085465e-06
"IGHVF6",21,1.2393416617093e-05
"IGHVF6",22,2.4786833234186e-05
"IGHVF6",23,6.1967083085465e-06
"IGHVF6",25,6.1967083085465e-06
"IGHVF6",28,6.1967083085465e-06
"IGHVF6",29,6.1967083085465e-06
"IGHVF6",30,6.1967083085465e-06
"IGHVF6",33,6.1967083085465e-06
"IGHVF6",38,6.1967083085465e-06
"IGHVF6",39,6.1967083085465e-06
"IGHVF6",48,6.1967083085465e-06
"IGHVF6",52,6.1967083085465e-06
"IGHVF6",66,6.1967083085465e-06
"IGHVF6",73,6.1967083085465e-06
"IGHVF6",76,6.1967083085465e-06
"IGHVF7",0,0.463063734625419
"IGHVF7",1,0.303615355944838
"IGHVF7",2,0.085426761088334
"IGHVF7",3,0.0894521058516586
"IGHVF7",4,0.0158777487886694
"IGHVF7",5,0.0108833395452851
"IGHVF7",6,0.015281401416325
"IGHVF7",7,0.00469623555721208
"IGHVF7",8,0.00193812896011927
"IGHVF7",9,0.00238538948937756
"IGHVF7",10,0.000819977636973537
"IGHVF7",11,0.00126723816623183
"IGHVF7",12,0.000298173686172195
"IGHVF7",13,0.000149086843086098
"IGHVF7",14,0.000521803950801342
"IGHVF7",15,0.00111815132314573
"IGHVF7",16,0.000596347372344391
"IGHVF7",17,0.000745434215430488
"IGHVF7",18,0.000521803950801342
"IGHVF7",19,0.000149086843086098
"IGHVF7",20,0.000149086843086098
"IGHVF7",21,0.000447260529258293
"IGHVF7",22,0.000223630264629146
"IGHVF7",23,7.45434215430488e-05
"IGHVF7",24,7.45434215430488e-05
"IGHVF7",25,7.45434215430488e-05
"IGHVF7",28,7.45434215430488e-05
"IGHVF7",47,7.45434215430488e-05
"IGHVF8",0,0.411902091754981
"IGHVF8",1,0.343840724673958
"IGHVF8",2,0.106101428337732
"IGHVF8",3,0.0915835095679116
"IGHVF8",4,0.01745264332158
"IGHVF8",5,0.0161804037660656
"IGHVF8",6,0.00677410898885041
"IGHVF8",7,0.0028411050647157
"IGHVF8",8,0.00173639511759593
"IGHVF8",9,0.000816953207994907
"IGHVF8",10,0.000107416043029487
"IGHVF8",11,0.000105445106460139
"IGHVF8",12,0.000108401511314161
"IGHVF8",13,7.19391847812162e-05
"IGHVF8",14,6.10990336498e-05
"IGHVF8",15,8.86921456206775e-05
"IGHVF8",16,5.02588825183839e-05
"IGHVF8",17,2.85785802555516e-05
"IGHVF8",18,2.75931119708774e-05
"IGHVF8",19,1.47820242701129e-05
"IGHVF8",20,2.26657705475065e-05
"IGHVF8",21,1.18256194160903e-05
"IGHVF8",22,6.89827799271936e-06
"IGHVF8",23,1.97093656934839e-06
"IGHVF8",24,4.92734142337097e-06
"IGHVF8",25,2.95640485402258e-06
"IGHVF8",26,9.85468284674194e-07
"IGHVF8",27,9.85468284674194e-07
"IGHVF8",28,5.91280970804517e-06
"IGHVF8",29,9.85468284674194e-07
"IGHVF8",30,9.85468284674194e-07
"IGHVF8",31,9.85468284674194e-07
"IGHVF8",32,2.95640485402258e-06
"IGHVF8",33,1.97093656934839e-06
"IGHVF8",34,9.85468284674194e-07
"IGHVF8",36,2.95640485402258e-06
"IGHVF8",37,9.85468284674194e-07
"IGHVF8",38,4.92734142337097e-06
"IGHVF8",40,9.85468284674194e-07
"IGHVF8",42,4.92734142337097e-06
"IGHVF8",44,9.85468284674194e-07
"IGHVF8",45,9.85468284674194e-07
"IGHVF8",49,2.95640485402258e-06
"IGHVF8",52,9.85468284674194e-07
"IGHVF8",53,9.85468284674194e-07
"IGHVF8",54,1.97093656934839e-06
"IGHVF8",55,1.97093656934839e-06
"IGHVF8",59,9.85468284674194e-07
"IGHVF8",64,9.85468284674194e-07
"IGHVF8",65,9.85468284674194e-07
"IGHVF8",66,9.85468284674194e-07
"IGHVF8",69,9.85468284674194e-07
"IGHVF8",71,2.95640485402258e-06
"IGHVF8",72,9.85468284674194e-07
"IGHVF8",74,9.85468284674194e-07
"IGHVF8",82,9.85468284674194e-07
"IGHVF8",84,1.97093656934839e-06
